time,open,high,low,close,MA Fast,MA Slow,Volume,Volume MA
1751521620,3354.22,3360.38,3354.09,3359.43,3352.5869726845362,3350.804543249306,3548,1858.35
1751522520,3359.22,3363.74,3357.14,3357.63,3353.595578147629,3351.4250393175507,3412,1892.9
1751523420,3357.62,3361.12,3357.58,3360.23,3354.922462518103,3352.2254902886825,2363,1903.35
1751524320,3360.19,3360.77,3356.67,3357.24,3355.3859700144826,3352.681354807893,2521,1897.45
1751525220,3357.22,3363.08,3356.73,3360.56,3356.420776011586,3353.397595279903,2517,1924.1
1751526120,3360.54,3361.58,3356.51,3356.84,3356.504620809269,3353.710541163548,2176,1918.8
1751527020,3356.78,3358.62,3354.35,3358.1,3356.823696647415,3354.1095828759526,2384,1968.45
1751527920,3358.14,3359.38,3354.54,3354.71,3356.400957317932,3354.164166250866,2441,1998.8
1751528820,3354.76,3355.92,3352.57,3353.04,3355.7287658543455,3354.061969318969,2271,1992.7
1751529720,3352.98,3353.89,3352.59,3353.36,3355.2550126834763,3353.998153926336,1887,1990.6
1751530620,3353.41,3355.51,3351.81,3354.88,3355.180010146781,3354.0783217512144,2212,2014.9
1751531520,3354.92,3358.34,3353.84,3357.28,3355.6000081174247,3354.369383410195,2288,2073.35
1751532420,3357.28,3358.32,3354.81,3354.99,3355.4780064939396,3354.4258031001773,1787,2106.65
1751533320,3354.94,3355.17,3352.53,3352.72,3354.926405195152,3354.27073009107,1784,2138.65
1751534220,3352.74,3353.18,3349.85,3350.23,3353.9871241561214,3353.903390991882,2317,2202.25
1751535120,3350.22,3350.34,3343.9,3345.11,3352.211699324897,3353.1039918108017,3109,2315.2
1751536020,3345,3347.33,3344.98,3345.13,3350.7953594599176,3352.379083464365,2824,2376.35
1751536920,3345.02,3347.3,3344.84,3346.8,3349.996287567934,3351.8718940585136,1862,2393.7
1751537820,3346.87,3349.75,3346.8,3349.08,3349.813030054347,3351.6180855077396,2019,2395.5
1751538720,3349.13,3354.34,3349.13,3354.07,3350.6644240434775,3351.840986825218,2179,2395.05
1751539620,3354.11,3355.5,3352.42,3352.49,3351.029539234782,3351.8999880229253,2567,2346
1751540520,3352.51,3352.9,3347.6,3347.74,3350.371631387826,3351.5218072935686,2813,2316.05
1751541420,3347.75,3349.02,3347.07,3347.26,3349.7493051102606,3351.1343702668805,1984,2297.1
1751542320,3347.21,3347.38,3344.71,3345.8,3348.9594440882083,3350.649427515346,2033,2272.7
1751543220,3345.74,3346.25,3343.13,3345.01,3348.169555270567,3350.136752286678,2657,2279.7
1751544120,3344.99,3348.63,3343.06,3348.12,3348.1596442164537,3349.953411169707,2851,2313.45
1751545020,3348.14,3352.33,3329.88,3333.55,3345.237715373163,3348.462191972461,3991,2393.8
1751545920,3333.46,3335.11,3311.67,3316.03,3339.3961722985305,3345.5138108840556,7110,2627.25
1751546820,3315.88,3325.97,3315.09,3323.3,3336.1769378388244,3343.49437353096,6218,2824.6
1751547720,3323.31,3331.59,3322.36,3329.21,3334.7835502710595,3342.1957941190544,5821,3021.3
1751548620,3329.17,3334.26,3327.21,3333.11,3334.4488402168477,3341.369812835504,5046,3163
1751549520,3333.19,3338.46,3330.73,3336.84,3334.9270721734783,3340.95801166864,5260,3311.6
1751550420,3336.76,3336.98,3330.33,3330.7,3334.0816577387827,3340.025465153309,4500,3447.25
1751551320,3330.67,3334.7,3326.43,3329.93,3333.2513261910262,3339.1076955939175,4914,3603.75
1751552220,3329.94,3330.45,3323.55,3329.67,3332.535060952821,3338.2497232671976,4451,3710.45
1751553120,3329.61,3331.24,3325.29,3327.43,3331.5140487622566,3337.2661120610887,4152,3762.6
1751554020,3327.45,3329.26,3323.63,3324.64,3330.1392390098054,3336.118283691899,3559,3799.35
1751554920,3324.22,3328.92,3323.15,3328,3329.7113912078444,3335.380257901726,3894,3900.95
1751555820,3328.1,3331.43,3327.69,3329.6,3329.6891129662754,3334.85477991066,3475,3973.75
1751556720,3329.58,3330.14,3326.91,3327.33,3329.21729037302,3334.170709009691,3045,4017.05
1751557620,3327.3,3328.49,3326.44,3328.23,3329.019832298416,3333.6306445542646,2644,4020.9
1751558520,3328.27,3328.71,3325.77,3326.5,3328.5158658387327,3332.9824041402403,2165,3988.5
1751559420,3326.52,3329.37,3325.72,3329.35,3328.682692670986,3332.6521855820365,2282,4003.4
1751560320,3329.34,3334.45,3328.9,3334.45,3329.8361541367885,3332.815623256397,2690,4036.25
1751561220,3334.46,3334.68,3332.88,3333.42,3330.5529233094308,3332.8705665967245,2662,4036.5
1751562120,3333.44,3334.85,3333.01,3333.81,3331.204338647545,3332.955969633386,1494,3968.65
1751563020,3333.8,3334.07,3330.42,3330.5,3331.063470918036,3332.7326996667143,1638,3851
1751563920,3330.61,3330.85,3328.97,3329.65,3330.780776734429,3332.4524542424674,1574,3574.2
1751564820,3329.66,3329.87,3328.63,3328.84,3330.392621387543,3332.124049311334,892,3307.9
1751565720,3328.85,3329.19,3327.95,3328.17,3329.9480971100343,3331.764590283031,742,3053.95
1751566620,3328.16,3329.45,3328.02,3329.3,3329.8184776880275,3331.540536620937,852,2844.25
1751567520,3329.3,3329.36,3328.46,3329.34,3329.722782150422,3331.3404878372153,630,2612.75
1751568420,3329.4,3330.24,3328.29,3328.32,3329.442225720338,3331.065898033832,765,2426
1751569320,3328.3,3328.55,3327.04,3328.48,3329.24978057627,3330.830816394393,732,2216.9
1751570220,3328.49,3329.18,3328.08,3328.6,3329.119824461016,3330.6280149039935,522,2020.45
1751571120,3328.7,3329.56,3328.43,3329.03,3329.101859568813,3330.4827408218125,682,1846.95
1751572020,3329.04,3329.1,3328.32,3328.64,3329.00948765505,3330.3152189289203,709,1704.45
1751572920,3328.65,3329.01,3326.66,3327.06,3328.6195901240403,3330.019289935382,500,1534.75
1751573820,3327.1,3327.26,3325.9,3326.76,3328.247672099232,3329.7229908503473,447,1383.35
1751574720,3326.72,3327.29,3326.19,3326.9,3327.978137679386,3329.4663553184973,375,1249.85
1751575620,3326.72,3326.83,3325.26,3325.92,3327.566510143509,3329.143959380452,466,1140.95
1751580120,3326.1,3326.1,3323.64,3324.05,3326.863208114807,3328.6808721640473,724,1068.9
1751581020,3324.24,3326.08,3324.13,3325.93,3326.6765664918457,3328.4307928764065,549,982.25
1751581920,3325.89,3328.07,3325.33,3327.87,3326.9152531934765,3328.379811705824,765,886
1751582820,3327.86,3329.66,3327.02,3329.38,3327.4082025547814,3328.4707379143856,1093,807.55
1751583720,3329.22,3330.62,3328.44,3330.61,3328.0485620438253,3328.665216285805,993,782.5
1751584620,3330.57,3331.45,3329.15,3331.24,3328.6868496350603,3328.89928753255,1096,755.4
1751585520,3331.34,3332.01,3329.46,3331.63,3329.2754797080484,3329.1475341205,1556,754.5
